CODIGO,NOMBRE-COMERCIAL,NOMBRE,NOMBRE-DE-VIA,NUMERO,LETRA,INTERIOR,GIRO,GEO_X,GEO_Y
1,,DIAZ VIZCARRA JORGE WASHINGTON,AV. DEL EJERCITO,1241,,,HOSTAL,-77.05108161,-12.1108979
2,,VELASQUEZ ALVAREZ AIDA,CALL JOSE DOMINGO CHOQUEHUANCA,261,,,RESTAURANT,-77.05029272,-12.1104023
3,,PESCADOS CAPITALES S.A.,AV. MARISCAL. LA MAR,1337,,,RESTAURANT CON VENTA DE LICOR,-77.04974165,-12.10955085
4,,OSORIO MONTES DE GELDRES FELICITA,CALL GENERAL MENDIBURU,1218,,,RESTAURANT,-77.04984034,-12.10997019
5,RESTAURANT MAR Y LIMON,RIVERA TAFUR WILIAM ROMULO,CALL JOSE DOMINGO CHOQUEHUANCA,325,,,RESTAURANT,-77.04984034,-12.10997019
6,LA ROMANTICA,LA SUISSE S.A.C.,AV. GENERAL CORDOVA,1155,,,RESTAURANT CON VENTA DE LICOR,-77.04919859,-12.10882293
7,,INVERSIONES CAPONE S.A.C.,AV. MARISCAL. LA MAR,1300,,,RESTAURANT,-77.04926773,-12.10942375
8,,PREMIUM BURGER PERU SAC.,AV. MARISCAL. LA MAR,1328,,,"CAFETERÃçA, SALON DE TÃ‰  Y/O FUENTE DE SODA",-77.04926773,-12.10942375
9,,CALKIM S.R.LTDA.,MLCN DE LA MARINA,1192,,,HOSTAL,-77.05119084,-12.11169303
10,,DAVALOS SANCHO DARLING MIMILA,CALL GENERAL MENDIBURU,1178,,,LIBRERIA Y ARTICULOS DE ESCRITORIO,-77.04958723,-12.110294
11,,INVERSIONES JUFLO S.A.C.,AV. MARISCAL. LA MAR,1221,*,2,GIMNASIOS Y/O SPA,-77.04876985,-12.11033318
12,,SOLUCIONES INTEGRALES DE MARKETING,AV. MARISCAL. LA MAR,1209,,,RESTAURANT,-77.04876985,-12.11033318
13,,INVERSIONES SUPER AMERICA S.A.C.,AV. MARISCAL. LA MAR,1209,,,RESTAURANT CON VENTA DE LICOR,-77.04876985,-12.11033318
14,,KENZO S.A.C.,AV. MARISCAL. LA MAR,1292,,,RESTAURANT CON VENTA DE LICOR,-77.04896707,-12.10957748
15,PHIROER PERU SAC,PHIROER PERU SAC,AV. MARISCAL. LA MAR,1200,,,RESTAURANT,-77.04861447,-12.11005494
16,,PANEBRA SIVIRICHE GLORIA,AV. MARISCAL. LA MAR,1244,,,RESTAURANT CON VENTA DE LICOR,-77.04876962,-12.10995614
17,,ALCA GASTRONOMIA S.A.C.,AV. MARISCAL. LA MAR,1254,,,RESTAURANT CON VENTA DE LICOR,-77.04875053,-12.10979738
