codigo,lat,lng,disntace,best_guess_time,pessimistic_time,kmm,ratio,ms
0,-12.13193318,-77.02584255,10.9,37,57,0.294594595,1.540540541,4.909909917
1,-12.13108559,-77.02556977,10.8,36,56,0.3,1.555555556,5
2,-12.13140786,-77.02599473,10.8,37,56,0.291891892,1.513513514,4.864864867
3,-12.13178545,-77.02626856,10.9,37,57,0.294594595,1.540540541,4.909909917
4,-12.13193318,-77.02584255,10.9,37,57,0.294594595,1.540540541,4.909909917
5,-12.13223831,-77.02613879,11,38,57,0.289473684,1.5,4.8245614
6,-12.13248568,-77.02568139,11,37,57,0.297297297,1.540540541,4.95495495
7,-12.13230785,-77.02528048,11,37,57,0.297297297,1.540540541,4.95495495
8,-12.11409776,-77.0398433,9.3,33,54,0.281818182,1.636363636,4.6969697
9,-12.11404702,-77.0393699,9.4,33,54,0.284848485,1.636363636,4.74747475
10,-12.11359433,-77.03947668,9.3,32,53,0.290625,1.65625,4.84375
11,-12.11377012,-77.04015309,9.6,33,54,0.290909091,1.636363636,4.84848485
12,-12.11407935,-77.03988908,9.3,32,53,0.290625,1.65625,4.84375
13,-12.11409776,-77.0398433,9.3,33,54,0.281818182,1.636363636,4.6969697
14,-12.11449339,-77.04012184,9.4,33,54,0.284848485,1.636363636,4.74747475
15,-12.13223831,-77.02613879,11,38,57,0.289473684,1.5,4.8245614
16,-12.13178545,-77.02626856,10.9,37,57,0.294594595,1.540540541,4.909909917
17,-12.13201694,-77.02674795,11,37,57,0.297297297,1.540540541,4.95495495
18,-12.1322072,-77.02668509,11,37,57,0.297297297,1.540540541,4.95495495
19,-12.13212624,-77.02044755,10.9,36,56,0.302777778,1.555555556,5.0462963
20,-12.13281022,-77.02084768,10.8,36,56,0.3,1.555555556,5
21,-12.13191492,-77.02091901,10.7,35,54,0.305714286,1.542857143,5.0952381
22,-12.13212624,-77.02044755,10.9,36,56,0.302777778,1.555555556,5.0462963
23,-12.131091,-77.01987944,10.8,36,55,0.3,1.527777778,5
24,-12.13136795,-77.02032243,11.8,40,1,0.295,0.025,4.916666667
25,-12.1320139,-77.02839671,11.3,38,59,0.297368421,1.552631579,4.95614035
